0,Paris,48.8534100000,2.3488000000,0
1,Waypoint-1,47.1280135000,-2.0603311250,0
2,Waypoint-2,47.1280135000,2.3488000000,0
3,Waypoint-3,47.1280135000,6.7579311250,0
4,Waypoint-4,47.1280135000,11.1670622500,0
5,Waypoint-5,47.1280135000,15.5761933750,0
6,Waypoint-6,47.1280135000,19.9853245000,0
7,Waypoint-7,47.1280135000,24.3944556250,0
8,Waypoint-8,47.1280135000,28.8035867500,0
9,Waypoint-9,47.1280135000,33.2127178750,0
10,Waypoint-10,47.1280135000,37.6218490000,0
11,Waypoint-11,47.1280135000,42.0309801250,0
12,Waypoint-12,48.8534100000,-2.0603311250,0
13,Waypoint-13,48.8534100000,6.7579311250,0
14,Waypoint-14,48.8534100000,11.1670622500,0
15,Waypoint-15,48.8534100000,15.5761933750,0
16,Waypoint-16,48.8534100000,19.9853245000,0
17,Waypoint-17,48.8534100000,24.3944556250,0
18,Waypoint-18,48.8534100000,28.8035867500,0
19,Waypoint-19,48.8534100000,33.2127178750,0
20,Waypoint-20,48.8534100000,37.6218490000,0
21,Waypoint-21,48.8534100000,42.0309801250,0
22,Waypoint-22,50.5788065000,-2.0603311250,0
23,Waypoint-23,50.5788065000,2.3488000000,0
24,Waypoint-24,50.5788065000,6.7579311250,0
25,Waypoint-25,50.5788065000,11.1670622500,0
26,Waypoint-26,50.5788065000,15.5761933750,0
27,Waypoint-27,50.5788065000,19.9853245000,0
28,Waypoint-28,50.5788065000,24.3944556250,0
29,Waypoint-29,50.5788065000,28.8035867500,0
30,Waypoint-30,50.5788065000,33.2127178750,0
31,Waypoint-31,50.5788065000,37.6218490000,0
32,Waypoint-32,50.5788065000,42.0309801250,0
33,Waypoint-33,52.3042030000,-2.0603311250,0
34,Waypoint-34,52.3042030000,2.3488000000,0
35,Waypoint-35,52.3042030000,6.7579311250,0
36,Waypoint-36,52.3042030000,11.1670622500,0
37,Waypoint-37,52.3042030000,15.5761933750,0
38,Waypoint-38,52.3042030000,19.9853245000,0
39,Waypoint-39,52.3042030000,24.3944556250,0
40,Waypoint-40,52.3042030000,28.8035867500,0
41,Waypoint-41,52.3042030000,33.2127178750,0
42,Waypoint-42,52.3042030000,37.6218490000,0
43,Waypoint-43,52.3042030000,42.0309801250,0
44,Waypoint-44,54.0295995000,-2.0603311250,0
45,Waypoint-45,54.0295995000,2.3488000000,0
46,Waypoint-46,54.0295995000,6.7579311250,0
47,Waypoint-47,54.0295995000,11.1670622500,0
48,Waypoint-48,54.0295995000,15.5761933750,0
49,Waypoint-49,54.0295995000,19.9853245000,0
50,Waypoint-50,54.0295995000,24.3944556250,0
51,Waypoint-51,54.0295995000,28.8035867500,0
52,Waypoint-52,54.0295995000,33.2127178750,0
53,Waypoint-53,54.0295995000,37.6218490000,0
54,Waypoint-54,54.0295995000,42.0309801250,0
55,Waypoint-55,55.7549960000,-2.0603311250,0
56,Waypoint-56,55.7549960000,2.3488000000,0
57,Waypoint-57,55.7549960000,6.7579311250,0
58,Waypoint-58,55.7549960000,11.1670622500,0
59,Waypoint-59,55.7549960000,15.5761933750,0
60,Waypoint-60,55.7549960000,19.9853245000,0
61,Waypoint-61,55.7549960000,24.3944556250,0
62,Waypoint-62,55.7549960000,28.8035867500,0
63,Waypoint-63,55.7549960000,33.2127178750,0
64,Waypoint-64,55.7549960000,42.0309801250,0
65,Waypoint-65,57.4803925000,-2.0603311250,0
66,Waypoint-66,57.4803925000,2.3488000000,0
67,Waypoint-67,57.4803925000,6.7579311250,0
68,Waypoint-68,57.4803925000,11.1670622500,0
69,Waypoint-69,57.4803925000,15.5761933750,0
70,Waypoint-70,57.4803925000,19.9853245000,0
71,Waypoint-71,57.4803925000,24.3944556250,0
72,Waypoint-72,57.4803925000,28.8035867500,0
73,Waypoint-73,57.4803925000,33.2127178750,0
74,Waypoint-74,57.4803925000,37.6218490000,0
75,Waypoint-75,57.4803925000,42.0309801250,0
76,Moskva-(Moscow),55.7549960000,37.6218490000,0
